Province/State	Country/Region	Lat	Long	Date	Confirmed	Death	Recovered	Location	Active	Fatality Rate	New Confirmed	New Death	New Recovered
0	Albania	41	20	2020-03-22	89	2	2	Albania	85	2.25	13	0	0
0	Albania	41	20	2020-03-21	76	2	2	Albania	72	2.63	6	0	2
0	Albania	41	20	2020-03-20	70	2	0	Albania	68	2.86	6	0	0
0	Albania	41	20	2020-03-19	64	2	0	Albania	62	3.12	5	0	0
0	Albania	41	20	2020-03-18	59	2	0	Albania	57	3.39	4	1	0
0	Albania	41	20	2020-03-17	55	1	0	Albania	54	1.82	4	0	0
0	Albania	41	20	2020-03-16	51	1	0	Albania	50	1.96	9	0	0
0	Albania	41	20	2020-03-15	42	1	0	Albania	41	2.38	4	0	0
0	Albania	41	20	2020-03-14	38	1	0	Albania	37	2.63	5	0	0
0	Albania	41	20	2020-03-13	33	1	0	Albania	32	3.03	10	0	0
0	Albania	41	20	2020-03-12	23	1	0	Albania	22	4.35	11	0	0
0	Albania	41	20	2020-03-11	12	1	0	Albania	11	8.33	2	1	0
0	Albania	41	20	2020-03-10	10	0	0	Albania	10	0.0	8	0	0
0	Albania	41	20	2020-03-09	2	0	0	Albania	2	0.0	2	0	0
0	Albania	41	20	2020-03-08	0	0	0	Albania	0	0.0	0	0	0
0	Albania	41	20	2020-03-07	0	0	0	Albania	0	0.0	0	0	0
0	Albania	41	20	2020-03-06	0	0	0	Albania	0	0.0	0	0	0
0	Albania	41	20	2020-03-05	0	0	0	Albania	0	0.0	0	0	0
0	Albania	41	20	2020-03-04	0	0	0	Albania	0	0.0	0	0	0
0	Albania	41	20	2020-03-03	0	0	0	Albania	0	0.0	0	0	0
0	Albania	41	20	2020-03-02	0	0	0	Albania	0	0.0	0	0	0
0	Albania	41	20	2020-03-01	0	0	0	Albania	0	0.0	0	0	0
0	Albania	41	20	2020-02-29	0	0	0	Albania	0	0.0	0	0	0
0	Albania	41	20	2020-02-28	0	0	0	Albania	0	0.0	0	0	0
0	Albania	41	20	2020-02-27	0	0	0	Albania	0	0.0	0	0	0
0	Albania	41	20	2020-02-26	0	0	0	Albania	0	0.0	0	0	0
0	Albania	41	20	2020-02-25	0	0	0	Albania	0	0.0	0	0	0
0	Albania	41	20	2020-02-24	0	0	0	Albania	0	0.0	0	0	0
0	Albania	41	20	2020-02-23	0	0	0	Albania	0	0.0	0	0	0
0	Albania	41	20	2020-02-22	0	0	0	Albania	0	0.0	0	0	0
0	Albania	41	20	2020-02-21	0	0	0	Albania	0	0.0	0	0	0
0	Albania	41	20	2020-02-20	0	0	0	Albania	0	0.0	0	0	0
0	Albania	41	20	2020-02-19	0	0	0	Albania	0	0.0	0	0	0
0	Albania	41	20	2020-02-18	0	0	0	Albania	0	0.0	0	0	0
0	Albania	41	20	2020-02-17	0	0	0	Albania	0	0.0	0	0	0
0	Albania	41	20	2020-02-16	0	0	0	Albania	0	0.0	0	0	0
0	Albania	41	20	2020-02-15	0	0	0	Albania	0	0.0	0	0	0
0	Albania	41	20	2020-02-14	0	0	0	Albania	0	0.0	0	0	0
0	Albania	41	20	2020-02-13	0	0	0	Albania	0	0.0	0	0	0
0	Albania	41	20	2020-02-12	0	0	0	Albania	0	0.0	0	0	0
0	Albania	41	20	2020-02-11	0	0	0	Albania	0	0.0	0	0	0
0	Albania	41	20	2020-02-10	0	0	0	Albania	0	0.0	0	0	0
0	Albania	41	20	2020-02-09	0	0	0	Albania	0	0.0	0	0	0
0	Albania	41	20	2020-02-08	0	0	0	Albania	0	0.0	0	0	0
0	Albania	41	20	2020-02-07	0	0	0	Albania	0	0.0	0	0	0
0	Albania	41	20	2020-02-06	0	0	0	Albania	0	0.0	0	0	0
0	Albania	41	20	2020-02-05	0	0	0	Albania	0	0.0	0	0	0
0	Albania	41	20	2020-02-04	0	0	0	Albania	0	0.0	0	0	0
0	Albania	41	20	2020-02-03	0	0	0	Albania	0	0.0	0	0	0
0	Albania	41	20	2020-02-02	0	0	0	Albania	0	0.0	0	0	0
0	Albania	41	20	2020-02-01	0	0	0	Albania	0	0.0	0	0	0
0	Albania	41	20	2020-01-31	0	0	0	Albania	0	0.0	0	0	0
0	Albania	41	20	2020-01-30	0	0	0	Albania	0	0.0	0	0	0
0	Albania	41	20	2020-01-29	0	0	0	Albania	0	0.0	0	0	0
0	Albania	41	20	2020-01-28	0	0	0	Albania	0	0.0	0	0	0
0	Albania	41	20	2020-01-27	0	0	0	Albania	0	0.0	0	0	0
0	Albania	41	20	2020-01-26	0	0	0	Albania	0	0.0	0	0	0
0	Albania	41	20	2020-01-25	0	0	0	Albania	0	0.0	0	0	0
0	Albania	41	20	2020-01-24	0	0	0	Albania	0	0.0	0	0	0
0	Albania	41	20	2020-01-23	0	0	0	Albania	0	0.0	0	0	0
0	Albania	41	20	2020-01-22	0	0	0	Albania	0	0.0	0	0	0
0	Algeria	28	1	2020-04-08	1572	205	237	Algeria	1130	13.04	104	12	124
0	Algeria	28	1	2020-04-07	1468	193	113	Algeria	1162	13.15	45	20	23
0	Algeria	28	1	2020-04-06	1423	173	90	Algeria	1160	12.16	103	21	0
0	Algeria	28	1	2020-04-05	1320	152	90	Algeria	1078	11.52	69	22	0
0	Algeria	28	1	2020-04-04	1251	130	90	Algeria	1031	10.39	80	25	28
0	Algeria	28	1	2020-04-03	1171	105	62	Algeria	1004	8.97	185	19	1
0	Algeria	28	1	2020-04-02	986	86	61	Algeria	839	8.72	139	28	0
0	Algeria	28	1	2020-04-01	847	58	61	Algeria	728	6.85	131	14	15
0	Algeria	28	1	2020-03-31	716	44	46	Algeria	626	6.15	132	9	9
0	Algeria	28	1	2020-03-30	584	35	37	Algeria	512	5.99	73	4	6
0	Algeria	28	1	2020-03-29	511	31	31	Algeria	449	6.07	57	2	0
0	Algeria	28	1	2020-03-28	454	29	31	Algeria	394	6.39	45	3	2
0	Algeria	28	1	2020-03-27	409	26	29	Algeria	354	6.36	42	1	0
0	Algeria	28	1	2020-03-26	367	25	29	Algeria	313	6.81	65	4	-36
0	Algeria	28	1	2020-03-25	302	21	65	Algeria	216	6.95	38	2	41
0	Algeria	28	1	2020-03-24	264	19	24	Algeria	221	7.2	34	2	-41
0	Algeria	28	1	2020-03-23	230	17	65	Algeria	148	7.39	29	0	0
0	Algeria	28	1	2020-03-22	201	17	65	Algeria	119	8.46	62	2	33
0	Algeria	28	1	2020-03-21	139	15	32	Algeria	92	10.79	49	4	0
0	Algeria	28	1	2020-03-20	90	11	32	Algeria	47	12.22	3	2	0
0	Algeria	28	1	2020-03-19	87	9	32	Algeria	46	10.34	13	2	20
0	Algeria	28	1	2020-03-18	74	7	12	Algeria	55	9.46	14	3	0
0	Algeria	28	1	2020-03-17	60	4	12	Algeria	44	6.67	6	0	0
0	Algeria	28	1	2020-03-16	54	4	12	Algeria	38	7.41	6	0	0
0	Algeria	28	1	2020-03-15	48	4	12	Algeria	32	8.33	11	1	0
